scenario      ,       K,leaf_capacity,max_depth,avg_total_time_s,total_time_std_s,avg_broad_phase_time_s,avg_narrow_phase_time_s,avg_candidates_per_frame, rebuild_count,correctness_ok,repeat_count
uniform_cloud ,      50,           32,       10,        0.611206,        0.028597,              0.070775,               0.525606,               396857.76,            62,             1,           5
uniform_cloud ,      50,           64,        6,        0.718041,        0.019134,              0.058041,               0.647756,               496404.56,            62,             1,           5
uniform_cloud ,      50,           64,        8,        0.723462,        0.015604,              0.056066,               0.655012,               496404.56,            62,             1,           5
uniform_cloud ,      50,           64,       10,        0.734847,        0.021358,              0.057261,               0.665099,               496404.56,            62,             1,           5
uniform_cloud ,     100,           16,        6,        0.494058,        0.018908,              0.070165,               0.410473,               307298.06,            36,             1,           5
uniform_cloud ,     100,           16,        8,        0.494427,        0.018088,              0.069496,               0.411479,               307298.06,            36,             1,           5
uniform_cloud ,     100,           16,       10,        0.499817,        0.021970,              0.071216,               0.415152,               307298.06,            36,             1,           5
uniform_cloud ,     100,           32,        6,        0.743535,        0.014014,              0.048736,               0.682974,               527678.63,            36,             1,           5
uniform_cloud ,     100,           32,        8,        0.748697,        0.017645,              0.048034,               0.688912,               527678.63,            36,             1,           5
uniform_cloud ,     100,           32,       10,        0.746130,        0.008008,              0.048770,               0.685488,               527678.63,            36,             1,           5
uniform_cloud ,     100,           64,        6,        0.915325,        0.013944,              0.049693,               0.854912,               644693.11,            36,             1,           5
uniform_cloud ,     100,           64,        8,        0.939279,        0.019623,              0.048445,               0.879788,               644693.11,            36,             1,           5
uniform_cloud ,     100,           64,       10,        0.916074,        0.015500,              0.047206,               0.857925,               644693.11,            36,             1,           5
