x,y,z
-2.3532,0.0816326,-0.0837748
5.55452,-1.91985,0.061081
-0.303673,0.814662,0.131947
0.0139169,0.097388,-0.0590478
0.791935,-2.95307,0.217374
-0.748616,0.360172,0.0940322
0.43262,1.99969,0.163265
0.913585,0.774692,-0.0260912
0.0302668,-0.106702,-0.213313
-0.0182667,0.791394,0.137341
14.1019,14.3258,-0.0974036
-0.254822,-0.101229,0.0459497
-2.7598,-0.945153,-0.0268468
1.40541,-4.48361,-0.069694
-3.17594,2.38827,-0.0127131
6.96817,4.67412,-0.0877185
-0.229669,1.36966,0.104965
-0.539362,-0.0687934,-0.138054
1.46933,2.52176,-0.156567
0.648877,0.0136614,-0.641589
-11.1362,12.8426,0.0781799
1.10152,-0.226267,0.0567687
0.170059,-0.271234,-0.528858
5.64939,-0.103726,-0.00410154
-0.43096,0.181773,-0.301711
0.24375,0.943263,0.0277063
-0.0698034,0.114976,0.0483773
1.37107,-0.103004,-0.0235416
-0.663968,0.541589,0.368379
-0.28348,-0.811979,0.0807815
-2.35527,-11.9694,0.0857092
-6.2457,-5.42163,-0.0168901
-0.205763,-2.73969,0.0429331
-1.16615,-17.311,0.0382441
5.77553,0.138546,-0.0923133
0.0372111,0.0182791,0.0503818
3.59853,-4.01075,-0.0595102
-1.13331,0.736255,-0.121248
0.0547803,0.50383,0.0282208
0.37328,-0.780445,-0.714015
3.32261,3.48732,0.130758
-17.6894,9.51683,-0.0377278
0.119522,0.123266,0.0540869
0.442376,0.0194328,0.077158
-2.27537,-0.473829,-0.0776482
9.62953,4.4093,0.209128
-14.0324,-6.30096,0.0829962
-0.919618,-7.37119,-0.0552835
9.8271,-9.55437,-0.0357102
-0.0387156,-0.0392921,0.0794383
-0.194143,0.861165,-0.162601
-1.50759,-2.33726,-0.0495858
-7.54535,0.552127,0.0181587
0.647238,0.278574,0.170916
-0.560211,-0.0549689,-0.493319
-0.250821,0.0898631,-0.0468583
-0.996566,-1.99998,-0.0362738
-0.0118025,0.147878,-0.0502599
3.7251,-0.379531,-0.0623605
-0.774381,0.403282,0.103025
-3.59737,1.15724,0.229644
-3.9684,0.646733,-0.0506611
1.89199,-2.46667,-0.0484967
0.810171,4.04113,0.0775445
-2.70866,15.3366,-0.0580778
0.426857,0.51912,0.0431838
-7.94356,-15.6924,-0.00640703
-0.295138,-0.184784,-0.561758
-0.298489,-0.550653,0.0841493
1.58496,-0.470932,-0.116544
0.737331,0.00974724,0.0810704
-0.0288932,0.686529,0.0535173
-0.580821,-0.950016,0.0193396
-0.432818,0.297175,-0.0818617
-1.22812,0.750735,0.133018
0.663484,0.0277878,1.27342
6.09843,8.89179,0.0451633
1.51212,-2.7912,-0.10749
0.279385,0.458773,-1.2262
3.877,-2.45582,0.155797
-0.0873189,-0.742511,0.523971
-12.3263,-3.37496,-0.0335396
-0.704847,0.23249,-0.46449
1.11927,0.801159,-0.21561
-0.0391353,-0.172805,0.69854
2.10081,0.60717,0.308716
-0.146565,0.231693,-0.234953
1.23384,-4.59857,0.0334499
6.56276,-9.38297,0.122212
2.29003,1.78231,0.0111172
0.0191181,0.140573,0.00279514
2.95161,11.1644,0.0418187
-0.883649,-0.725487,-0.419098
5.21832,-8.76323,-0.0443618
-4.84147,0.797827,0.0125751
-9.50455,-7.55372,-0.0014198
17.0861,-3.17684,0.263292
3.69343,-5.9389,-0.180561
-0.242175,-0.919515,0.00304955
3.51534,-6.32936,-0.13221
-7.80557,-4.48376,-0.0521902
-0.481104,1.46534,0.0564814
-1.12873,0.278907,-0.0693868
0.227486,0.26188,0.135711
-2.12216,-1.52399,-0.0594606
-1.39625,-0.447106,-0.20979
-1.88103,0.3984,0.00187803
-1.40589,0.0713374,0.0653712
-3.51704,-0.499289,-0.181487
-0.274759,0.322653,0.193639
-0.536519,0.1523,0.211035
-1.06299,0.15822,-0.116854
-0.692323,0.481544,-0.391135
17.1252,-3.09615,-0.107969
0.122233,-1.54119,0.00790001
0.932755,-1.98876,0.107954
-1.52773,-0.277309,-0.0123728
13.3576,0.475724,-0.0356472
0.233363,0.242981,0.174586
-0.771152,-4.52751,0.0671037
1.85199,0.287347,0.0470322
-0.886328,-2.60242,-0.185584
7.79346,-8.4103,-0.0715917
0.16808,-0.0682237,-0.808917
-0.854089,-1.48336,0.0426496
3.53948,5.02472,-0.0339045
-16.5261,-9.53085,0.0172121
3.73747,16.5388,0.120263
0.523353,1.27123,0.0677944
-0.9261,-0.331166,0.0406085
-3.12408,0.736074,-0.0766987
2.09258,1.96391,-0.10341
-0.347735,0.778549,0.278109
3.63507,2.73816,0.081224
-0.2665,-1.19362,0.0884993
-2.04763,3.20999,0.0209069
-0.0847246,0.0747987,0.534804
0.456048,-0.170744,0.0189628
4.48849,-1.89826,-0.0749207
2.58724,-1.21407,0.0341729
-0.4212,0.205238,0.275048
4.38783,4.64914,-0.0360032
-0.034271,0.286195,0.224113
-0.205141,-0.001754,-0.485002
-0.712193,0.108365,0.0288126
18.495,-22.6574,-0.0833835
-2.5643,1.49923,-0.083117
0.708522,0.418754,0.653437
1.37582,0.316064,0.0672886
1.50579,-0.242454,-0.0164416
-1.87405,0.380072,-0.0808194
0.900481,-1.81469,0.0154317
2.46561,1.78822,-0.108237
0.394274,0.251642,0.406537
0.329516,-0.137755,0.457011
-0.474222,-0.0545543,-0.244299
-0.426069,3.91506,-0.0441968
-0.168037,-0.381574,0.0678769
2.08016,4.54893,-0.188782
0.252827,1.49082,-0.0725133
-2.55208,-1.16377,0.0591022
0.995626,0.259932,0.971802
-0.776189,0.394482,-0.23593
-0.198765,0.156035,0.0749658
3.47894,1.37025,0.0849085
0.886396,0.0939013,-0.796859
-2.03487,-0.824855,-0.0670836
1.90017,-1.45347,0.06297
-0.568571,-0.469703,0.0106911
0.188864,0.219191,-0.515859
-0.0757066,0.208231,0.150522
-0.681942,-1.72545,0.174502
-0.785497,-0.00782603,-0.0503691
-0.831665,1.08242,-0.0543872
0.0538475,0.205893,-0.653787
1.89785,-2.18122,0.0191661
-0.247001,-0.479904,-0.237567
-7.25118,-8.38692,0.0598249
4.30414,-1.30875,-0.150969
0.188203,0.37574,0.0121147
21.6165,1.93242,0.0535141
-1.42011,1.09861,0.0759388
-0.0461171,0.200913,0.203828
-7.05417,1.89485,0.0528768
0.017319,-0.202497,0.0306014
0.527333,-0.274573,0.634839
1.04094,0.30993,-0.048995
-0.0255489,1.06396,0.0468606
3.58658,-2.79496,-0.000720005
-2.40861,-2.74743,0.061503
16.0019,6.06994,-0.17047
-0.0286608,0.0248475,-0.0422541
2.51918,-3.59539,0.0487164
0.13332,0.179149,0.0657524
-6.77796,3.11794,0.0491796
2.99003,-4.73388,0.170206
3.47055,-2.3984,-0.0315959
0.74537,-0.625451,0.110313
-0.264709,7.93248,0.0746101
-1.48929,1.70315,-0.162504
-0.62186,0.159657,-0.0652958
0.606691,-1.46246,0.623905
5.61646,-2.5995,0.0953024
2.44131,0.990279,-0.220756
0.495439,1.54327,0.0994982
-3.05006,7.69163,-0.0162526
-1.92311,1.12198,0.0591109
0.698424,-0.285336,0.367109
-5.39528,8.87113,0.0705365
-6.95251,6.47238,-0.0751126
1.40104,0.183001,0.0133257
-2.30756,0.264044,-0.174922
-0.175822,-0.192397,0.0172016
0.810217,1.52073,-0.105931
-0.602881,-0.0905031,-0.13722
-0.453519,0.670918,0.0220382
9.27287,11.5254,0.0641816
0.983397,-10.6029,-0.111385
-3.96033,-1.26783,-0.0182902
3.94948,-2.62741,-0.19651
0.871977,0.865241,0.0486128
0.623948,0.0658599,-0.44943
-1.69912,-0.371853,-0.233284
2.68157,2.47078,0.134974
0.210273,-0.151478,0.290027
2.33084,-5.2579,0.101108
-5.09194,12.2141,0.0027054
3.50395,8.37202,0.0101861
1.69067,4.38465,0.067631
-0.512833,-0.400405,-0.0137354
4.46448,2.59954,0.123757
-5.81783,5.36501,-0.116087
0.350463,0.427577,0.13192
2.54028,-0.154025,-0.0360375
0.260211,-0.154483,-0.00272899
-0.133628,0.0565481,-0.469663
-0.668855,0.119665,-0.673381
-10.2601,-8.00851,0.0374481
-1.02502,-1.10121,0.187175
1.21892,2.28858,0.0489256
-0.058315,-0.361544,-0.200529
-1.86238,-2.29883,0.187066
-4.53846,-1.91876,0.194867
0.00960672,3.21457,-0.0558515
6.48125,5.86526,0.215533
0.314118,0.013196,-0.0977562
-1.64541,1.67557,0.0142056
-0.317879,-0.085868,-0.0500881
0.361194,-0.447266,0.712231
-2.03973,0.0251155,0.0697623
4.30713,-3.56057,0.0260889
4.12215,-0.0968255,0.0297127
-1.44253,-2.65055,-0.0957708
0.953119,0.30981,0.0649962
-0.0370636,-0.121075,-0.123155
-6.29261,-4.39868,0.0697777
-2.46278,4.28419,-0.0270621
1.44398,-6.13861,0.089259
-0.0702674,3.3307,-0.0393609
-0.5604,0.966801,0.14698
0.499665,-0.118538,0.527333
1.92618,2.46358,0.0436082
-4.34477,-0.00218729,0.0465584
-2.20456,1.44549,0.134287
4.42909,17.2634,0.0978924
3.97291,-2.055,-0.100651
0.751585,-3.21752,0.0808893
1.07797,0.0539887,0.0546464
0.934808,-0.992831,0.428737
0.321078,-0.600768,-0.086662
0.239545,-1.0303,-0.138616
-3.05442,6.64101,0.144903
0.15413,-1.0783,0.142162
-3.31875,1.97635,0.0217832
-5.88889,1.54403,0.159473
-3.2293,1.52931,-0.0638861
-0.722121,-0.146656,-0.0676304
-4.56354,2.72989,0.0963245
0.454983,0.435374,0.111888
-2.90141,7.19539,0.183392
-0.779001,7.01536,0.119884
-0.0595426,0.0353469,-0.0789926
-0.296873,-0.620518,0.148975
-5.34217,-1.61358,-0.0517753
17.9298,-6.44061,-0.00422014
0.96572,0.177309,-0.0224773
1.00713,-10.7984,0.10925
